file Name,file Path,revit category
BackRest_AccessibleWC_WallMounted_FIRT_507,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\BackRest_AccessibleWC_WallMounted_FIRT_507.rfa,Furniture
Machine_Heating_Cooling_MMGE_762_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Machine_Heating_Cooling_MMGE_762_1.rfa,Specialty Equipment
WallFinish_Vinyl_WLWA_XXX,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Walls & Wall Finishes (WL)\WallFinish_Vinyl_WLWA_XXX.rfa,Furniture Systems
PalletJack_Electric_FQGE_515,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\PalletJack_Electric_FQGE_515.rfa,Specialty Equipment
WallFinish_Paint_WLWA_XXX,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Walls & Wall Finishes (WL)\WallFinish_Paint_WLWA_XXX.rfa,Furniture Systems
Bracket_DiagnosticSet_WallMounted_FIHR_540,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bracket_DiagnosticSet_WallMounted_FIHR_540.rfa,Furniture
Analyser_Rotem_MMLA_508,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Analyser_Rotem_MMLA_508.rfa,Specialty Equipment
Exhaust_FumeCupboard_MEEX_004,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Mechanical Services (ME)\Exhaust_FumeCupboard_MEEX_004.rfa,Mechanical Equipment
Chair_Commode_MMGE_015,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Chair_Commode_MMGE_015.rfa,Furniture
Transducer_Ultrasound_TOE_MMMI_503,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Transducer_Ultrasound_TOE_MMMI_503.rfa,Specialty Equipment
ControlUnit_Display_ControlBox_Keyboard_HybridTheatre_MMMI_570,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\ControlUnit_Display_ControlBox_Keyboard_HybridTheatre_MMMI_570.rfa,Electrical Equipment
Scanner_Desktop_ITNE_024,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\Scanner_Desktop_ITNE_024.rfa,Electrical Equipment
Trolley_Storage_WireBaskets_TopShelfCover_CardiacPatientPositioningEquipment_MMGE_804,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Trolley_Storage_WireBaskets_TopShelfCover_CardiacPatientPositioningEquipment_MMGE_804.rfa,Furniture
Annunciator_NurseCall_Audio_FlushCeilingMounted_ITCL_001,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\Annunciator_NurseCall_Audio_FlushCeilingMounted_ITCL_001.rfa,Nurse Call Devices
System_UV_Disinfection_Mobile_MMIC_554,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\System_UV_Disinfection_Mobile_MMIC_554.rfa,Specialty Equipment
Cardiac_Protected_Electrical_Area_Sign_SEQ,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\Cardiac_Protected_Electrical_Area_Sign_SEQ.rfa,Electrical Fixtures
BenchSeat_Fixed_Shower_IntegratedWithShowerPartition_800W_300D_450H_FIGE_500,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\BenchSeat_Fixed_Shower_IntegratedWithShowerPartition_800W_300D_450H_FIGE_500.rfa,Furniture
Box_IPTV_MountedBehindScreen_ITAV_544,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\Box_IPTV_MountedBehindScreen_ITAV_544.rfa,Electrical Equipment
Machine_CashRegister_FQGE_037,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Machine_CashRegister_FQGE_037.rfa,Specialty Equipment
Chair_Armchair_Recliner_FQBS_010,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Chair_Armchair_Recliner_FQBS_010.rfa,Furniture
Baby_Change_Table_SEQ,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\Baby_Change_Table_SEQ.rfa,Furniture
ControlPanel_AVSystem_WallMounted_SuppliedWithBracketAndKeyboard_ITAV_006,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\ControlPanel_AVSystem_WallMounted_SuppliedWithBracketAndKeyboard_ITAV_006.rfa,Electrical Fixtures
Bars_Parallel_Electronic_MMAH_512,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Bars_Parallel_Electronic_MMAH_512.rfa,Furniture
Couch_Exam_Electric_FUR,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Couch_Exam_Electric_FUR.rfa,Electrical Equipment
Lifter_SSDElectricWallMounted_MMIC_123,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Lifter_SSDElectricWallMounted_MMIC_123.rfa,Specialty Equipment
Drain_TundishUnit_IntegralDrainageOutlets_HYDR_015,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Drain_TundishUnit_IntegralDrainageOutlets_HYDR_015.rfa,Pipe Accessories
ChilledWaterUnit_WaterBottleWaterDispenser_HYGE_503,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\ChilledWaterUnit_WaterBottleWaterDispenser_HYGE_503.rfa,Furniture
Screen_Projection_CeilingMounted_Automatic_FQGE_069,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Screen_Projection_CeilingMounted_Automatic_FQGE_069.rfa,Electrical Equipment
WallProtection_CrashBar_Single_WLPR_XXX,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Walls & Wall Finishes (WL)\WallProtection_CrashBar_Single_WLPR_XXX.rfa,Furniture Systems
Table_Therapy_SpeechHand_HeightAdjustable_MMBE_003,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Table_Therapy_SpeechHand_HeightAdjustable_MMBE_003.rfa,Specialty Equipment
Machine_ATM_FQGE_034,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Machine_ATM_FQGE_034.rfa,Electrical Equipment
Device_CoagulationTesting_RotemSigma_EEQ,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Electrical Equipment\Device_CoagulationTesting_RotemSigma_EEQ.rfa,Specialty Equipment
Rangehood_Domestic_Undermount_DuctedExtraction_FQCA_072_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Rangehood_Domestic_Undermount_DuctedExtraction_FQCA_072_1.rfa,Electrical Equipment
PalletJack_Manual_FQSN_056,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\PalletJack_Manual_FQSN_056.rfa,Specialty Equipment
Dryer_Hand_WallMounted_Dyson_MEQ,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Mechanical Equipment\Dryer_Hand_WallMounted_Dyson_MEQ.rfa,Electrical Equipment
WallProtection_WLPR_XXX,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Walls & Wall Finishes (WL)\WallProtection_WLPR_XXX.rfa,Furniture Systems
FireExtinguisher_90L_Mobile_onTrolley_FSPV_500,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fire Services (FS)\FireExtinguisher_90L_Mobile_onTrolley_FSPV_500.rfa,Fire Alarm Devices
Piano_GrandPiano_FQGE_529,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Piano_GrandPiano_FQGE_529.rfa,Furniture
Lifter_SSD_Electric_Mobile_MMIC_560,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Lifter_SSD_Electric_Mobile_MMIC_560.rfa,Specialty Equipment
Device_ElectronicRecord_IntensiveCare_Bracket_Pendant_ITCL_536,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\Device_ElectronicRecord_IntensiveCare_Bracket_Pendant_ITCL_536.rfa,Specialty Equipment
Track_Curtain_Shower_WallMounted_Retractable_FIRT_536,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Track_Curtain_Shower_WallMounted_Retractable_FIRT_536.rfa,Specialty Equipment
System_Electrophysiology_CathLab_MMMI_398,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\System_Electrophysiology_CathLab_MMMI_398.rfa,Specialty Equipment
WallProtection_CornerGuards_WLPR_XXX,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Walls & Wall Finishes (WL)\WallProtection_CornerGuards_WLPR_XXX.rfa,Furniture Systems
Rail_Equipment_Vertical_FloorMountedBase_WallMountedTop_FIRT_510,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Rail_Equipment_Vertical_FloorMountedBase_WallMountedTop_FIRT_510.rfa,Specialty Equipment
Dispenser_PersonalProtectiveEquipment_MobileStand_OnCastors_MMGE_137,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Dispenser_PersonalProtectiveEquipment_MobileStand_OnCastors_MMGE_137.rfa,Furniture
WindowDressing_External_DWWD_013,"\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Doors, Windows & Accessories (DW)\WindowDressing_External_DWWD_013.rfa",Furniture
Accessories_MedicalImaging_FreeDetector_MMMI_567_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Accessories_MedicalImaging_FreeDetector_MMMI_567_1.rfa,Furniture
ControlUnit_Display_ControlBox_Keyboard_CathLab_MMMI_386,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\ControlUnit_Display_ControlBox_Keyboard_CathLab_MMMI_386.rfa,Electrical Equipment
Rail_Hanging_Utility_Horizontal_WallMounted_FIRT_013,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Rail_Hanging_Utility_Horizontal_WallMounted_FIRT_013.rfa,Specialty Equipment
Trolley_Clax_Cart_FQSM_532,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Trolley_Clax_Cart_FQSM_532.rfa,Furniture
Device_FluidWarmer_MMGE_531,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Device_FluidWarmer_MMGE_531.rfa,Specialty Equipment
Table_Tilt_Bariatric_MMGE_553,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Table_Tilt_Bariatric_MMGE_553.rfa,Specialty Equipment
Device_DentalHandpieceProcessor_InstrumentOiling_Lubricating_MMDN_502,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Device_DentalHandpieceProcessor_InstrumentOiling_Lubricating_MMDN_502.rfa,Specialty Equipment
ControlPanel_AVIntegrationSystem_WallMounted_ITAV_060,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\ControlPanel_AVIntegrationSystem_WallMounted_ITAV_060.rfa,Electrical Fixtures
Body_Protected_Electrical_Area_ELPR_001,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Electrical Services (EL)\Body_Protected_Electrical_Area_ELPR_001.rfa,Electrical Fixtures
System_Haemodynamic_MMMI_557,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\System_Haemodynamic_MMMI_557.rfa,Specialty Equipment
Annunciator_NurseCall_Screen_CeilingMounted_ITCL_509,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\Annunciator_NurseCall_Screen_CeilingMounted_ITCL_509.rfa,Nurse Call Devices
Bars_Parallel_MMAH_001,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Bars_Parallel_MMAH_001.rfa,Furniture
Lifter_ForkCaseStacker_Adjustable_Mobile_MMGE_695,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Lifter_ForkCaseStacker_Adjustable_Mobile_MMGE_695.rfa,Specialty Equipment
DeskBox_ForPower_Data_AV_FlushMounted_Sofwired_ITIN_145,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\DeskBox_ForPower_Data_AV_FlushMounted_Sofwired_ITIN_145.rfa,Furniture
Track_Relocatable_GPO_CeilingMount_Straight_FIRT_530,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Track_Relocatable_GPO_CeilingMount_Straight_FIRT_530.rfa,Specialty Equipment
Chair_Patient_ENT_Electric_MMGE_174,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Chair_Patient_ENT_Electric_MMGE_174.rfa,Furniture
Box_Alarm_MRI_MMMI_171,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Box_Alarm_MRI_MMMI_171.rfa,Specialty Equipment
Screen_Privacy_Wallmounted_FQGE_539,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Screen_Privacy_Wallmounted_FQGE_539.rfa,Furniture
Monitor_Foetal_CTG_SEQ,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\Monitor_Foetal_CTG_SEQ.rfa,Electrical Equipment
Monitor_Blood_Pressure_SEQ,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\Monitor_Blood_Pressure_SEQ.rfa,Electrical Equipment
Cabinet_IroningBoard_FQSN_023,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Cabinet_IroningBoard_FQSN_023.rfa,Furniture
PowerRail_DeskMounted_ELGE_506,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Electrical Services (EL)\PowerRail_DeskMounted_ELGE_506.rfa,Electrical Equipment
Washer_Index_MultiChamber_SideServiceEnclosure_MMIC_093_2,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Washer_Index_MultiChamber_SideServiceEnclosure_MMIC_093_2.rfa,Plumbing Fixtures
Bulkhead_Vertical_LockerSystem_FQGE_533,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Bulkhead_Vertical_LockerSystem_FQGE_533.rfa,Furniture
System_SurgicalNavigation_MMMI_552,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\System_SurgicalNavigation_MMMI_552.rfa,Specialty Equipment
WallFinish_Panel_WLWA_XXX,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Walls & Wall Finishes (WL)\WallFinish_Panel_WLWA_XXX.rfa,Furniture Systems
Hook_Rope_BirthingSupport_FIHR_530,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Hook_Rope_BirthingSupport_FIHR_530.rfa,Furniture
Track_Curtain_CeilingRecessed_Straight_FIRT_029,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Track_Curtain_CeilingRecessed_Straight_FIRT_029.rfa,Specialty Equipment
Device_DockingStation_QuadGlucometer_BloodGlucose_MMGE_802,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Device_DockingStation_QuadGlucometer_BloodGlucose_MMGE_802.rfa,Specialty Equipment
Trolley_WireMesh_MMGE_593,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Trolley_WireMesh_MMGE_593.rfa,Furniture
Track_Curtain_Privacy_CeilingSuspended_AroundDoor_AdjacentWindow_FIRT_513,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Track_Curtain_Privacy_CeilingSuspended_AroundDoor_AdjacentWindow_FIRT_513.rfa,Specialty Equipment
ControlUnit_Display_ControlBox_Keyboard_CT_MMMI_206,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\ControlUnit_Display_ControlBox_Keyboard_CT_MMMI_206.rfa,Electrical Equipment
Device_Imaging_Echocardiography_MMMI_325,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Device_Imaging_Echocardiography_MMMI_325.rfa,Specialty Equipment
Table_Tilt_MMGE_102,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Table_Tilt_MMGE_102.rfa,Specialty Equipment
Rack_CatheterStorage_Mobile_MMGE_799,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Rack_CatheterStorage_Mobile_MMGE_799.rfa,Specialty Equipment
Couch_Examination_Electric_Mobile_MMBE_023,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Couch_Examination_Electric_Mobile_MMBE_023.rfa,Electrical Equipment
Barrier_Retractable_WallMounted_DWGE_500,"\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Doors, Windows & Accessories (DW)\Barrier_Retractable_WallMounted_DWGE_500.rfa",Furniture
Bracket_DualMonitors_DeskMounted_VerticalArrangement_CardiacCentralStation_FIHR_600,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bracket_DualMonitors_DeskMounted_VerticalArrangement_CardiacCentralStation_FIHR_600.rfa,Furniture
ControlPanel_PatientEntertainment_Pendant_ITBU_512,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\ControlPanel_PatientEntertainment_Pendant_ITBU_512.rfa,Electrical Fixtures
RoomCalculationPoint_Marker_CAS,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Casework\RoomCalculationPoint_Marker_CAS.rfa,Generic Models
ControlDesk_Imaging_MMOP_014,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\ControlDesk_Imaging_MMOP_014.rfa,Specialty Equipment
WindowDressing_External_Blackout_DWWD_014,"\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Doors, Windows & Accessories (DW)\WindowDressing_External_Blackout_DWWD_014.rfa",Furniture
Monitor_BispecturalIndex_BIS_MMHA_558,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Monitor_BispecturalIndex_BIS_MMHA_558.rfa,Electrical Equipment
ControlPanel_Temperature_MEGE_007,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Mechanical Services (ME)\ControlPanel_Temperature_MEGE_007.rfa,Mechanical Equipment
