data_type,root_name_path,root_category_path,family_name,family_file_path,use_counter,used_by,pattern_name,pattern_id
LinePattern,Sample_Family_Six :: Sample_Family_Eleven,Specialty Equipment :: Generic Models,Sample_Family_Eleven,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Eleven"", ""element_id"": 9152387}]",Dash dot,1499753
LinePattern,Sample_Family_Six :: Sample_Family_Eleven :: Section Tail - Upgrade,Specialty Equipment :: Generic Models :: Section Marks,Section Tail - Upgrade,-,0,None,Hidden 04_BVN,1428068
LinePattern,Sample_Family_Six :: Sample_Family_Eleven :: Section Tail - Upgrade,Specialty Equipment :: Generic Models :: Section Marks,Section Tail - Upgrade,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Eleven :: Section Tail - Upgrade"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Six :: Sample_Family_Eleven :: Section Tail - Upgrade,Specialty Equipment :: Generic Models :: Section Marks,Section Tail - Upgrade,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Eleven :: Section Tail - Upgrade"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Six :: Sample_Family_Seven,Specialty Equipment :: Electrical Fixtures,Sample_Family_Seven,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven"", ""element_id"": -2009517}]",Hidden 04_BVN,1428068
LinePattern,Sample_Family_Six :: Sample_Family_Seven,Specialty Equipment :: Electrical Fixtures,Sample_Family_Seven,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Six :: Sample_Family_Seven,Specialty Equipment :: Electrical Fixtures,Sample_Family_Seven,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Six :: Sample_Family_Seven,Specialty Equipment :: Electrical Fixtures,Sample_Family_Seven,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven"", ""element_id"": 9156917}]",Dash dot,1499753
LinePattern,Sample_Family_Six :: Sample_Family_Seven :: Symbol_Outlet_GPO_Single_Emergency_ANN,Specialty Equipment :: Electrical Fixtures :: Generic Annotations,Symbol_Outlet_GPO_Single_Emergency_ANN,-,0,None,Hidden 04_BVN,1428068
LinePattern,Sample_Family_Six :: Sample_Family_Seven :: Symbol_Outlet_GPO_Single_Emergency_ANN,Specialty Equipment :: Electrical Fixtures :: Generic Annotations,Symbol_Outlet_GPO_Single_Emergency_ANN,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Symbol_Outlet_GPO_Single_Emergency_ANN"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Six :: Sample_Family_Seven :: Symbol_Outlet_GPO_Single_Emergency_ANN,Specialty Equipment :: Electrical Fixtures :: Generic Annotations,Symbol_Outlet_GPO_Single_Emergency_ANN,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Symbol_Outlet_GPO_Single_Emergency_ANN"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Six :: Sample_Family_Seven :: Section Tail - Upgrade,Specialty Equipment :: Electrical Fixtures :: Section Marks,Section Tail - Upgrade,-,0,None,Hidden 04_BVN,1428068
LinePattern,Sample_Family_Six :: Sample_Family_Seven :: Section Tail - Upgrade,Specialty Equipment :: Electrical Fixtures :: Section Marks,Section Tail - Upgrade,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Section Tail - Upgrade"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Six :: Sample_Family_Seven :: Section Tail - Upgrade,Specialty Equipment :: Electrical Fixtures :: Section Marks,Section Tail - Upgrade,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Section Tail - Upgrade"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN,Specialty Equipment :: Electrical Fixtures :: Generic Annotations,Label_Text_Rotation_1_5mm_ANN,-,0,None,Hidden 04_BVN,1428068
LinePattern,Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN,Specialty Equipment :: Electrical Fixtures :: Generic Annotations,Label_Text_Rotation_1_5mm_ANN,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN,Specialty Equipment :: Electrical Fixtures :: Generic Annotations,Label_Text_Rotation_1_5mm_ANN,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN :: Label_Text_1_5mm_ANN,Specialty Equipment :: Electrical Fixtures :: Generic Annotations :: Generic Annotations,Label_Text_1_5mm_ANN,-,0,None,Hidden 04_BVN,1428068
LinePattern,Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN :: Label_Text_1_5mm_ANN,Specialty Equipment :: Electrical Fixtures :: Generic Annotations :: Generic Annotations,Label_Text_1_5mm_ANN,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN :: Label_Text_1_5mm_ANN"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN :: Label_Text_1_5mm_ANN,Specialty Equipment :: Electrical Fixtures :: Generic Annotations :: Generic Annotations,Label_Text_1_5mm_ANN,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"""," ""root_name_path"": ""Sample_Family_Six :: Sample_Family_Seven :: Label_Text_Rotation_1_5mm_ANN :: Label_Text_1_5mm_ANN"""," ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_One,Plumbing Fixtures,Sample_Family_One,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_One.rfa,6,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_One"", ""element_id"": -2009521},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_One"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_One :: Sample_Family_Thirteen"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_One :: Sample_Family_Four"", ""element_id"": -2009521},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_One :: Sample_Family_Four"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_One :: Sample_Family_Four :: Section Tail - Upgrade"", ""element_id"": -2000530}]",Dash,1296
LinePattern,Sample_Family_One,Plumbing Fixtures,Sample_Family_One,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_One.rfa,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_One"", ""element_id"": 63776}]",Dash dot,1301
LinePattern,Sample_Family_One,Plumbing Fixtures,Sample_Family_One,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_One.rfa,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_One"", ""element_id"": 65393}]",Clearance 02_BVN,65477
LinePattern,Sample_Family_One,Plumbing Fixtures,Sample_Family_One,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_One.rfa,2,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_One"", ""element_id"": 65488},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_One"", ""element_id"": 65490}]",Dash 04_BVN,65483
LinePattern,Sample_Family_One :: Sample_Family_Thirteen,Plumbing Fixtures :: Section Marks,Sample_Family_Thirteen,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_One :: Sample_Family_Thirteen"", ""element_id"": -2000530}]",Dash,1296
LinePattern,Sample_Family_One :: Sample_Family_Thirteen,Plumbing Fixtures :: Section Marks,Sample_Family_Thirteen,-,0,None,Dash dot,1301
LinePattern,Sample_Family_One :: Sample_Family_Four,Plumbing Fixtures :: Plumbing Fixtures,Sample_Family_Four,-,2,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_One :: Sample_Family_Four"", ""element_id"": -2009521},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_One :: Sample_Family_Four"", ""element_id"": -2000530}]",Dash,1296
LinePattern,Sample_Family_One :: Sample_Family_Four,Plumbing Fixtures :: Plumbing Fixtures,Sample_Family_Four,-,0,None,Dash dot,1301
LinePattern,Sample_Family_One :: Sample_Family_Four :: Section Tail - Upgrade,Plumbing Fixtures :: Plumbing Fixtures :: Section Marks,Section Tail - Upgrade,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_One :: Sample_Family_Four :: Section Tail - Upgrade"", ""element_id"": -2000530}]",Dash,1296
LinePattern,Sample_Family_One :: Sample_Family_Four :: Section Tail - Upgrade,Plumbing Fixtures :: Plumbing Fixtures :: Section Marks,Section Tail - Upgrade,-,0,None,Dash dot,1301
LinePattern,Sample_Family_Nine,Furniture Systems,Sample_Family_Nine,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Nine.rfa,2,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine"", ""element_id"": -2009518},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Eight"", ""element_id"": -2009518}]",Hidden 04_BVN,1428068
LinePattern,Sample_Family_Nine,Furniture Systems,Sample_Family_Nine,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Nine.rfa,4,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Thirteen"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Eight"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Eight :: Section Tail - Upgrade"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Nine,Furniture Systems,Sample_Family_Nine,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Nine.rfa,4,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Thirteen"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Eight"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Eight :: Section Tail - Upgrade"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Nine,Furniture Systems,Sample_Family_Nine,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Nine.rfa,2,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine"", ""element_id"": 8027264},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Eight"", ""element_id"": 10600768}]",Dash dot,1499753
LinePattern,Sample_Family_Nine :: Sample_Family_Thirteen,Furniture Systems :: Section Marks,Sample_Family_Thirteen,-,0,None,Hidden 04_BVN,1428068
LinePattern,Sample_Family_Nine :: Sample_Family_Thirteen,Furniture Systems :: Section Marks,Sample_Family_Thirteen,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Thirteen"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Nine :: Sample_Family_Thirteen,Furniture Systems :: Section Marks,Sample_Family_Thirteen,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Thirteen"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Nine :: Sample_Family_Eight,Furniture Systems :: Furniture Systems,Sample_Family_Eight,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Eight"", ""element_id"": -2009518}]",Hidden 04_BVN,1428068
LinePattern,Sample_Family_Nine :: Sample_Family_Eight,Furniture Systems :: Furniture Systems,Sample_Family_Eight,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Eight"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Nine :: Sample_Family_Eight,Furniture Systems :: Furniture Systems,Sample_Family_Eight,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Eight"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Nine :: Sample_Family_Eight,Furniture Systems :: Furniture Systems,Sample_Family_Eight,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Eight"", ""element_id"": 10600768}]",Dash dot,1499753
LinePattern,Sample_Family_Nine :: Sample_Family_Eight :: Section Tail - Upgrade,Furniture Systems :: Furniture Systems :: Section Marks,Section Tail - Upgrade,-,0,None,Hidden 04_BVN,1428068
LinePattern,Sample_Family_Nine :: Sample_Family_Eight :: Section Tail - Upgrade,Furniture Systems :: Furniture Systems :: Section Marks,Section Tail - Upgrade,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Eight :: Section Tail - Upgrade"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Nine :: Sample_Family_Eight :: Section Tail - Upgrade,Furniture Systems :: Furniture Systems :: Section Marks,Section Tail - Upgrade,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"""," ""root_name_path"": ""Sample_Family_Nine :: Sample_Family_Eight :: Section Tail - Upgrade"""," ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Three,Specialty Equipment,Sample_Family_Three,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Three.rfa,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Three"", ""element_id"": -2009527}]",Hidden 04_BVN,1428068
LinePattern,Sample_Family_Three,Specialty Equipment,Sample_Family_Three,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Three.rfa,2,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Three"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Three :: Sample_Family_Thirteen"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Three,Specialty Equipment,Sample_Family_Three,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Three.rfa,2,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Three"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Three :: Sample_Family_Thirteen"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Three :: Sample_Family_Thirteen,Specialty Equipment :: Section Marks,Sample_Family_Thirteen,-,0,None,Hidden 04_BVN,1428068
LinePattern,Sample_Family_Three :: Sample_Family_Thirteen,Specialty Equipment :: Section Marks,Sample_Family_Thirteen,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Three :: Sample_Family_Thirteen"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Three :: Sample_Family_Thirteen,Specialty Equipment :: Section Marks,Sample_Family_Thirteen,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"""," ""root_name_path"": ""Sample_Family_Three :: Sample_Family_Thirteen"""," ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Two,Furniture Systems,Sample_Family_Two,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Two.rfa,2,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two"", ""element_id"": -2009518},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Eight"", ""element_id"": -2009518}]",Hidden 04_BVN,1428068
LinePattern,Sample_Family_Two,Furniture Systems,Sample_Family_Two,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Two.rfa,4,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Thirteen"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Eight"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Eight :: Section Tail - Upgrade"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
