Name,Merged,Column1,New name
44034_Caroma-Opal-920-Wall-Basin-RH-Shelfrfa-1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\44034_Caroma-Opal-920-Wall-Basin-RH-Shelfrfa-1.rfa,Plumbing Fixtures,Basin_CaromaOpal920_Shelf_RH_PLU
ARJO_Rhapsody-25_Bath,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\ARJO_Rhapsody-25_Bath.rfa,Plumbing Fixtures,Bath_Assisted_ArjoRhapsody25_PLU
Bain_Caroma_Medical,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Bain_Caroma_Medical.rfa,Plumbing Fixtures,Basin_CaromaMedical_TypeA_PLU
Basin-Caroma Opal Shroud_UNShared,,Plumbing Fixtures,Basin_CaromaOpal_Shroud_NotShared_PLU
Basin-Shroud-Caroma Opal_Not Shared,,Plumbing Fixtures,Basin_CaromaOpal_Shroud_NotShared_PLU
Basin_Caroma_Opal_720_LeftShelf_BottleTrap,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin_Caroma_Opal_720_LeftShelf_BottleTrap.rfa,Plumbing Fixtures,Basin_CaromaOpal720_Shelf_LH_NoShroud_PLU
Caroma_Opal_720_LH_Shelf_Wall_Basin,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Caroma_Opal_720_LH_Shelf_Wall_Basin.rfa,Plumbing Fixtures,Basin_CaromaOpal720_Shelf_LH_PLU
Caroma_Opal_720_RH_Shelf_Wall_Basin,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Caroma_Opal_720_RH_Shelf_Wall_Basin.rfa,Plumbing Fixtures,Basin_CaromaOpal720_Shelf_RH_PLU
DRAIN_boiling water unit,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\DRAIN_boiling water unit.rfa,Plumbing Fixtures,Drain_BenchTop_BoilingWaterUnit_PLU
enware_EWS505B_rfa,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\enware_EWS505B_rfa.rfa,Plumbing Fixtures,Toilet_Suite_Enware_EWS505B_PLU
Tapware_Electronic Touch Basin Tap,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Tapware_Electronic Touch Basin Tap.rfa,Plumbing Fixtures,Tap_ElectronicTouch_PLU
TAPWARE_mixer_spray trigger hose,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\TAPWARE_mixer_spray trigger hose.rfa,Plumbing Fixtures,Tap_Mixer_GooseNeck_SprayTriggerHose_PLU
Tapware_Spout,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Tapware_Spout.rfa,Plumbing Fixtures,Tap_Spout_PLU
Tap_VanitySensor Tapware,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Tap_VanitySensor Tapware.rfa,Plumbing Fixtures,Tap_WallMounted_Sensor_PLU
Pipe - Round,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Profiles\Pipe - Round.rfa,Profiles,Pipe_Round_PRO
Section Tail - Upgrade,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Section Marks\Section Tail - Upgrade.rfa,Section Marks,Section_Tail_Upgrade_ANN
Baby Change Table,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\Baby Change Table.rfa,Specialty Equipment,Baby_Change_Table_SEQ
Compactus,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\Compactus.rfa,Specialty Equipment,Compactus_SEQ
Connex_Integrated_Wall_System,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\Connex_Integrated_Wall_System.rfa,Specialty Equipment,DiagnosticSet_WallMounted_Connex_SEQ
DiagnosticSet,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\DiagnosticSet.rfa,Specialty Equipment,DiagnosticSet_WallMounted_SEQ
Docking Station Infusion Pump,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\Docking Station Infusion Pump.rfa,Specialty Equipment,DockingStation_InfusionPump_SEQ
Equipment_Stack,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\Equipment_Stack.rfa,Specialty Equipment,Equipment_Stack_Mobile_SEQ
MedicationDispenser_AuxiliaryDrawerUnit_SingleColumn_FullHeight_SecondThird_Cell,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\MedicationDispenser_AuxiliaryDrawerUnit_SingleColumn_FullHeight_SecondThird_Cell.rfa,Specialty Equipment,MedicationDispenser_AuxiliaryDrawerUnit_SingleColumn_FullHeight_SecondThird_Cell_SEQ
MedicationDispenser_First_Cell,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\MedicationDispenser_First_Cell.rfa,Specialty Equipment,MedicationDispenser_First_Cell_SEQ
SYSTEM_CArm,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\SYSTEM_CArm.rfa,Specialty Equipment,Device_Imaging_CeilingArm_SEQ
SYSTEM_imaging_angiography_floor_arm,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\SYSTEM_imaging_angiography_floor_arm.rfa,Specialty Equipment,Device_Imaging_FloorArm_SEQ
Towel rail,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\Towel rail.rfa,Specialty Equipment,Rail_Towel_SEQ
Wall_Stiffener,,Structural Framing,Wall_Stiffener_STR
Pendant,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Structural Framing\Pendant.rfa,Structural Framing,Pendant_InCeilingSupport_STR
