MissingFamilyName,HostFilePath,FamilyBaseDataRootFamilies.categoryName,New FamilyName
Holder_A4 Poster_Clip Frame_WallMounted_FIDI_554,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Holder_A4 Poster_Clip Frame_WallMounted_FIDI_554.rfa,Furniture,Holder_A4Poster_ClipFrame_WallMounted_FIDI_554
Chute System_Laundry_FIGE_530,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Chute System_Laundry_FIGE_530.rfa,Specialty Equipment,ChuteSystem_Laundry_FIGE_530
Enclosure_DisplayScreen_TV Protection_WallMounted_AntiLigature_FIGE_531,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Enclosure_DisplayScreen_TV Protection_WallMounted_AntiLigature_FIGE_531.rfa,Electrical Equipment,Enclosure_DisplayScreen_TVProtection_WallMounted_AntiLigature_FIGE_531
Bracket_Observation Camera_CeilingMounted_FIHR_077,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bracket_Observation Camera_CeilingMounted_FIHR_077.rfa,Furniture,Bracket_ObservationCamera_CeilingMounted_FIHR_077
Bracket_Cleaning Wipes Dispenser_FIHR_501,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bracket_Cleaning Wipes Dispenser_FIHR_501.rfa,Furniture,Bracket_CleaningWipesDispenser_FIHR_501
Bracket_With Holder_Transport Cardiac Monitor_FIHR_526,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bracket_With Holder_Transport Cardiac Monitor_FIHR_526.rfa,Furniture,Bracket_WithHolder_TransportCardiacMonitor_FIHR_526
Cable Management_Basket_Joinery Integrated_Under Desktop_BenchMounted_FIHR_537,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Cable Management_Basket_Joinery Integrated_Under Desktop_BenchMounted_FIHR_537.rfa,Furniture,CableManagement_Basket_JoineryIntegrated_UnderDesktop_BenchMounted_FIHR_537
Bracket_DisplayScreen_Bench Mounted_FIHR_538,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bracket_DisplayScreen_Bench Mounted_FIHR_538.rfa,Furniture,Bracket_DisplayScreen_BenchMounted_FIHR_538
Bracket_Diagnostic Set_WallMounted_FIHR_540,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bracket_Diagnostic Set_WallMounted_FIHR_540.rfa,Specialty Equipment,Bracket_DiagnosticSet_WallMounted_FIHR_540
Bracket_Monitor_Articulated Pivot_Counter_DeskMounted_FIHR_542,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bracket_Monitor_Articulated Pivot_Counter_DeskMounted_FIHR_542.rfa,Furniture,Bracket_Monitor_ArticulatedPivot_Counter_DeskMounted_FIHR_542
Panel_Modular Storage_For Sharps Bins_WallMounted_FIHR_562,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Panel_Modular Storage_For Sharps Bins_WallMounted_FIHR_562.rfa,Furniture,Panel_ModularStorage_ForSharpsBins_WallMounted_FIHR_562
Bracket_Suction Bottle_Pendant_FIHR_580,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bracket_Suction Bottle_Pendant_FIHR_580.rfa,Specialty Equipment,Bracket_SuctionBottle_Pendant_FIHR_580
Bracket_Telemedicine Camera_CeilingMounted_FIHR_582,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bracket_Telemedicine Camera_CeilingMounted_FIHR_582.rfa,Furniture,Bracket_TelemedicineCamera_CeilingMounted_FIHR_582
Hook_Lead Apron_WallMounted_FoldUp_FIHR_593,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Hook_Lead Apron_WallMounted_FoldUp_FIHR_593.rfa,Furniture,Hook_LeadApron_WallMounted_FoldUp_FIHR_593
ShelvingUnit_WallMount_Fixed_Shelves Microwave_FIJO_154,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\ShelvingUnit_WallMount_Fixed_Shelves Microwave_FIJO_154.rfa,Casework,ShelvingUnit_WallMount_Fixed_ShelvesMicrowave_FIJO_154
BedHead_MentalHealth_PartHeight_IntegratedSideTablePocket helf_FIJO_210_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\BedHead_MentalHealth_PartHeight_IntegratedSideTablePocket helf_FIJO_210_1.rfa,Casework,BedHead_MentalHealth_PartHeight_IntegratedSideTablePockethelf_FIJO_210_1
Cupboard_Tall_DoubleDoor_Glazed_Catheter Hanging_FIJO_220,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Cupboard_Tall_DoubleDoor_Glazed_Catheter Hanging_FIJO_220.rfa,Casework,Cupboard_Tall_DoubleDoor_Glazed_CatheterHanging_FIJO_220
Cupboard_Tall_SingleDoor_AdjShelves_ClothesRail_Shelf to Top_DoorShortSide_FIJO_524_10,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Cupboard_Tall_SingleDoor_AdjShelves_ClothesRail_Shelf to Top_DoorShortSide_FIJO_524_10.rfa,Casework,Cupboard_Tall_SingleDoor_AdjShelves_ClothesRail_ShelftoTop_DoorShortSide_FIJO_524_10
Cupboard_Tall_SingleDoor_AdjShelves_ClothesRail_Shelf to Top_DoorShortSide_Lockable_FIJO_524_10,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Cupboard_Tall_SingleDoor_AdjShelves_ClothesRail_Shelf to Top_DoorShortSide_Lockable_FIJO_524_10.rfa,Casework,Cupboard_Tall_SingleDoor_AdjShelves_ClothesRail_ShelftoTop_DoorShortSide_Lockable_FIJO_524_10
Cupboard_Tall_SingleDoor_AdjShelves_ClothesRail_Shelf to Top_DoorShortSide_FIJO_524_11,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Cupboard_Tall_SingleDoor_AdjShelves_ClothesRail_Shelf to Top_DoorShortSide_FIJO_524_11.rfa,Casework,Cupboard_Tall_SingleDoor_AdjShelves_ClothesRail_ShelftoTop_DoorShortSide_FIJO_524_11
Cupboard_Tall_Single Door_AdjShelves_ClothesRail_CurvedEnd_DoorLongSide_FIJO_524_6,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Cupboard_Tall_Single Door_AdjShelves_ClothesRail_CurvedEnd_DoorLongSide_FIJO_524_6.rfa,Casework,Cupboard_Tall_SingleDoor_AdjShelves_ClothesRail_CurvedEnd_DoorLongSide_FIJO_524_6
JoineryUnit_Baby Change_FullyIntegratedSink_MoldedChangingArea_FIJO_543,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\JoineryUnit_Baby Change_FullyIntegratedSink_MoldedChangingArea_FIJO_543.rfa,Casework,JoineryUnit_BabyChange_FullyIntegratedSink_MoldedChangingArea_FIJO_543
JoineryUnit_Bespoke Cardiac Theatre Patient Frame Hanging Rack_FIJO_551_33,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\JoineryUnit_Bespoke Cardiac Theatre Patient Frame Hanging Rack_FIJO_551_33.rfa,Casework,JoineryUnit_BespokeCardiacTheatrePatientFrameHangingRack_FIJO_551_33
JoineryUnit_Baby Change_FullyIntegrated Sink_MoldedChangingArea_IntegratedBinStorageCupboard_FIJO_551_39,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\JoineryUnit_Baby Change_FullyIntegrated Sink_MoldedChangingArea_IntegratedBinStorageCupboard_FIJO_551_39.rfa,Casework,JoineryUnit_BabyChange_FullyIntegratedSink_MoldedChangingArea_IntegratedBinStorageCupboard_FIJO_551_39
JoineryUnit_BabyChange_Fully IntegratedSinkMoldedChangingArea_IntegratedBinStorageCupboard_FIJO_551_39,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\JoineryUnit_BabyChange_Fully IntegratedSinkMoldedChangingArea_IntegratedBinStorageCupboard_FIJO_551_39.rfa,Casework,JoineryUnit_BabyChange_FullyIntegratedSinkMoldedChangingArea_IntegratedBinStorageCupboard_FIJO_551_39
JoineryUnit_Tall_BrochureDisplayUnit_IntegratedDoubleDoor CupboardUnder_FIJO_551_9,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\JoineryUnit_Tall_BrochureDisplayUnit_IntegratedDoubleDoor CupboardUnder_FIJO_551_9.rfa,Casework,JoineryUnit_Tall_BrochureDisplayUnit_IntegratedDoubleDoorCupboardUnder_FIJO_551_9
Cupboard_Tall_OpenMicrowavePocket_Shelf Above_DoubleDoorCupboardBelow_750W 600D 2100H_FIJO_572,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Cupboard_Tall_OpenMicrowavePocket_Shelf Above_DoubleDoorCupboardBelow_750W 600D 2100H_FIJO_572.rfa,Casework,Cupboard_Tall_OpenMicrowavePocket_ShelfAbove_DoubleDoorCupboardBelow_750W600D2100H_FIJO_572
Cupboard_Tall_Open2xMicrowavePocket_DoubleDoorCupboardBelow_750W 600D 2100H_FIJO_605,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Cupboard_Tall_Open2xMicrowavePocket_DoubleDoorCupboardBelow_750W 600D 2100H_FIJO_605.rfa,Casework,Cupboard_Tall_Open2xMicrowavePocket_DoubleDoorCupboardBelow_750W600D2100H_FIJO_605
Cupboard_WallMount_Infill_Accessible Dispenser Mounting_ReferPlansForExtent_FIJO_802,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Cupboard_WallMount_Infill_Accessible Dispenser Mounting_ReferPlansForExtent_FIJO_802.rfa,Casework,Cupboard_WallMount_Infill_AccessibleDispenserMounting_ReferPlansForExtent_FIJO_802
Cupboard_Tall_SingleDoor_AdjShelves_ClothesRail_IntegratedFlowerShelf_Bulkhead Above_FIJO_807,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Cupboard_Tall_SingleDoor_AdjShelves_ClothesRail_IntegratedFlowerShelf_Bulkhead Above_FIJO_807.rfa,Casework,Cupboard_Tall_SingleDoor_AdjShelves_ClothesRail_IntegratedFlowerShelf_BulkheadAbove_FIJO_807
Lounge_Fixed_ 1Seat_PullOutCarerDayBed_CovedSkirting_UpholsteredSeat_BackrestMattress_FIJO_811,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Lounge_Fixed_ 1Seat_PullOutCarerDayBed_CovedSkirting_UpholsteredSeat_BackrestMattress_FIJO_811.rfa,Casework,Lounge_Fixed_1Seat_PullOutCarerDayBed_CovedSkirting_UpholsteredSeat_BackrestMattress_FIJO_811
Cupboard_Enclosure_Wheelie Bin_WithAccessOpening_FIJO_815,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Cupboard_Enclosure_Wheelie Bin_WithAccessOpening_FIJO_815.rfa,Casework,Cupboard_Enclosure_WheelieBin_WithAccessOpening_FIJO_815
Chair_Cafe_Internal_4 Leg Base_Stackable_FQBS_529,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Chair_Cafe_Internal_4 Leg Base_Stackable_FQBS_529.rfa,Furniture,Chair_Cafe_Internal_4LegBase_Stackable_FQBS_529
Lounge_2 Seat_MentalHealth_FQBS_564,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Lounge_2 Seat_MentalHealth_FQBS_564.rfa,Furniture,Lounge_2Seat_MentalHealth_FQBS_564
Bin_Recycling Toner_FQCW_002,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Bin_Recycling Toner_FQCW_002.rfa,Furniture,Bin_RecyclingToner_FQCW_002
Enclosure_Waste Bin_Internal_Lockable_FQCW_542,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Enclosure_Waste Bin_Internal_Lockable_FQCW_542.rfa,Furniture,Enclosure_WasteBin_Internal_Lockable_FQCW_542
Desk_Straight_FixedHeight_Conference End_1600W_800D_720H_FQDW_534,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Desk_Straight_FixedHeight_Conference End_1600W_800D_720H_FQDW_534.rfa,Furniture,Desk_Straight_FixedHeight_ConferenceEnd_1600W_800D_720H_FQDW_534
Workstation_Cabinet_WallMounted_Lockable_Computer_Fold Out Keyboard Tray_FQDW_559,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Workstation_Cabinet_WallMounted_Lockable_Computer_Fold Out Keyboard Tray_FQDW_559.rfa,Furniture,Workstation_Cabinet_WallMounted_Lockable_Computer_FoldOutKeyboardTray_FQDW_559
Workstation_120 Degree_AdjHeight_ElectronicSitToStand_1800W_750D_610_1350H_FQDW_560,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Workstation_120 Degree_AdjHeight_ElectronicSitToStand_1800W_750D_610_1350H_FQDW_560.rfa,Furniture,Workstation_120Degree_AdjHeight_ElectronicSitToStand_1800W_750D_610_1350H_FQDW_560
Dryer_Hand_ Standard_Accessible_FQGE_018_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Dryer_Hand_ Standard_Accessible_FQGE_018_1.rfa,Electrical Equipment,Dryer_Hand_Standard_Accessible_FQGE_018_1
Dryer_Hand_ Top Drying_Dyson_FQGE_018_2,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Dryer_Hand_ Top Drying_Dyson_FQGE_018_2.rfa,Electrical Equipment,Dryer_Hand_TopDrying_Dyson_FQGE_018_2
Trolley_Cage_For Mattresses_StainlessSteel_1850W_1450D_1250H_FQGE_512_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Trolley_Cage_For Mattresses_StainlessSteel_1850W_1450D_1250H_FQGE_512_1.rfa,Furniture,Trolley_Cage_ForMattresses_StainlessSteel_1850W_1450D_1250H_FQGE_512_1
Trolley_Flatbed_1 Tier_Wire Sides_920W_610D_1000H_FQGE_514_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Trolley_Flatbed_1 Tier_Wire Sides_920W_610D_1000H_FQGE_514_1.rfa,Furniture,Trolley_Flatbed_1Tier_WireSides_920W_610D_1000H_FQGE_514_1
Trolley_Flatbed_2 Tier_Wire Sides_920W_610D_1000H_FQGE_514_2,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Trolley_Flatbed_2 Tier_Wire Sides_920W_610D_1000H_FQGE_514_2.rfa,Furniture,Trolley_Flatbed_2Tier_WireSides_920W_610D_1000H_FQGE_514_2
Box_SampleCollection_Holding_Police Service_FQGE_527,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Box_SampleCollection_Holding_Police Service_FQGE_527.rfa,Specialty Equipment,Box_SampleCollection_Holding_PoliceService_FQGE_527
ChargingStation_Battery Packs_WallMounted_ClinicalWorkDevices_FQGE_611_6,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\ChargingStation_Battery Packs_WallMounted_ClinicalWorkDevices_FQGE_611_6.rfa,Electrical Equipment,ChargingStation_BatteryPacks_WallMounted_ClinicalWorkDevices_FQGE_611_6
Toy_Childrens Play_Operating Trolley_FQGE_617_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Toy_Childrens Play_Operating Trolley_FQGE_617_1.rfa,Furniture,Toy_ChildrensPlay_OperatingTrolley_FQGE_617_1
Station_Wheelchair Parking Depot_FQGE_619,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Station_Wheelchair Parking Depot_FQGE_619.rfa,Specialty Equipment,Station_WheelchairParkingDepot_FQGE_619
Pedestal_Mobile_2 StandardEqualDrawerUnit_LamintateFinish_Lockable_660H_FQSM_040,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Pedestal_Mobile_2 StandardEqualDrawerUnit_LamintateFinish_Lockable_660H_FQSM_040.rfa,Furniture,Pedestal_Mobile_2StandardEqualDrawerUnit_LamintateFinish_Lockable_660H_FQSM_040
Pedestal_Mobile_Two Small_OneLarge_DrawerUnit_450W_550D_600H_FQSM_530,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Pedestal_Mobile_Two Small_OneLarge_DrawerUnit_450W_550D_600H_FQSM_530.rfa,Furniture,Pedestal_Mobile_TwoSmall_OneLarge_DrawerUnit_450W_550D_600H_FQSM_530
Bin_Pharmacy Returns_FloorMounted_FQSN_005,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Bin_Pharmacy Returns_FloorMounted_FQSN_005.rfa,Furniture,Bin_PharmacyReturns_FloorMounted_FQSN_005
Cabinet_Coat_Shoes valet_FQSN_014,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Cabinet_Coat_Shoes valet_FQSN_014.rfa,Furniture,Cabinet_Coat_Shoesvalet_FQSN_014
Table_Cafe_Square_High Performance Finish_Folding_Stackable_900W_900D_750H_FQTA_513,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Furniture & Non-medical Equipment (FQ)\Table_Cafe_Square_High Performance Finish_Folding_Stackable_900W_900D_750H_FQTA_513.rfa,Furniture,Table_Cafe_Square_HighPerformanceFinish_Folding_Stackable_900W_900D_750H_FQTA_513
FireExtinguisher_VaporizingLiquid_MRI _FSPV_510,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fire Services (FS)\FireExtinguisher_VaporizingLiquid_MRI _FSPV_510.rfa,Fire Alarm Devices,FireExtinguisher_VaporizingLiquid_MRI_FSPV_510
2D_Hospital Bed_GEN,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\2D_Hospital Bed_GEN.rfa,Generic Models,2D_HospitalBed_GEN
Bath_Adjustable Height_Hydraulic_HYBA_021,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Bath_Adjustable Height_Hydraulic_HYBA_021.rfa,Plumbing Fixtures,Bath_AdjustableHeight_Hydraulic_HYBA_021
Drain_BoilingWaterUnit_Benchtop Font_HYDR_002,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Drain_BoilingWaterUnit_Benchtop Font_HYDR_002.rfa,Plumbing Fixtures,Drain_BoilingWaterUnit_BenchtopFont_HYDR_002
Tapware_Sensor_WallMounted_Gooseneck Spout_HYTP_042_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Tapware_Sensor_WallMounted_Gooseneck Spout_HYTP_042_1.rfa,Plumbing Fixtures,Tapware_Sensor_WallMounted_GooseneckSpout_HYTP_042_1
Tapware_Sensor_WallMounted_Straight Spout_HYTP_042_2,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Tapware_Sensor_WallMounted_Straight Spout_HYTP_042_2.rfa,Plumbing Fixtures,Tapware_Sensor_WallMounted_StraightSpout_HYTP_042_2
Tapware_Mixer_Elbow Levers_HobMounted_HYTP_507,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Hydraulic Services (HY)\Tapware_Mixer_Elbow Levers_HobMounted_HYTP_507.rfa,Plumbing Fixtures,Tapware_Mixer_ElbowLevers_HobMounted_HYTP_507
Projector_Sensory Therapy_Interactive_ITAV_551,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\Projector_Sensory Therapy_Interactive_ITAV_551.rfa,Specialty Equipment,Projector_SensoryTherapy_Interactive_ITAV_551
ControlPanel_Patient Entertainment_Pendant_ITBU_512,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\ControlPanel_Patient Entertainment_Pendant_ITBU_512.rfa,Electrical Equipment,ControlPanel_PatientEntertainment_Pendant_ITBU_512
SP_Control Panel_Patient Entertainment_ITBU_512,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PendantFamilies (SP)\SP_Control Panel_Patient Entertainment_ITBU_512.rfa,Generic Models,SP_ControlPanel_PatientEntertainment_ITBU_512
