Name,Merged,Column1,New name
Label_Room,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Annotations\Label_Room.rfa,Generic Annotations,Label_Room_ANN
SPPG_GA_Fire Hydrant w Riser_FS_2D Symbol_0,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Annotations\SPPG_GA_Fire Hydrant w Riser_FS_2D Symbol_0.rfa,Generic Annotations,Symbol_Fire_Hydrant_With_Riser_ANN
SYMBOL FOR S09000,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Annotations\SYMBOL FOR S09000.rfa,Generic Annotations,Symbol_Power_ANN
GEN-2D Cupboard-Wardrobe-BVNDH-14,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\GEN-2D Cupboard-Wardrobe-BVNDH-14.rfa,Generic Models,2D_Cupboard_Wardrobe_GEN
GEN-2D Hospital Bed-BVNDH-14,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\GEN-2D Hospital Bed-BVNDH-14.rfa,Generic Models,2D_Hospital Bed_GEN
GEN-2D NAH Bed+Bay,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\GEN-2D NAH Bed+Bay.rfa,Generic Models,2D_Bed_And_Bay_GEN
GEN-2D NAH Bed+Bay_Chamfered,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\GEN-2D NAH Bed+Bay_Chamfered.rfa,Generic Models,2D_Bed_And_Bay_Chamfered_GEN
GEN-2D NAH Cot+Bay,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\GEN-2D NAH Cot+Bay.rfa,Generic Models,2D_Cot_And_Bay_GEN
GEN-2D NAH Dialysis+Bay,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\GEN-2D NAH Dialysis+Bay.rfa,Generic Models,2D_Dialysis_Bay_GEN
GEN-Clinical Handwash-BVNDH-14,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\GEN-Clinical Handwash-BVNDH-14.rfa,Generic Models,Clinical_Handwash_GEN
GEN-Shower-Tray-Simple-BVNDH-14,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\GEN-Shower-Tray-Simple-BVNDH-14.rfa,Generic Models,Shower_Tray_Simple_GEN
GEN-Toilet Suite-BVNDH-14,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\GEN-Toilet Suite-BVNDH-14.rfa,Generic Models,Toilet_Suite_GEN
SP-Door-Double_Shared_10,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Door-Double_Shared_10.rfa,Generic Models,Door_Double_Shared_GEN
SP-Door-EgressMarker_10,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Door-EgressMarker_10.rfa,Generic Models,Door_EgressMarker_GEN
SP-Door-Lift_10,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Door-Lift_10.rfa,Generic Models,Door_Lift_GEN
SP-Door-Single-10-Host,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Door-Single-10-Host.rfa,Generic Models,Door_Single_Host_GEN
SP-Door-Single_For_Rotation_10,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Door-Single_For_Rotation_10.rfa,Generic Models,Door_Single_For_Rotation_GEN
SP-Door-Single_Shared_10,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Door-Single_Shared_10.rfa,Generic Models,Door_Single_Shared_GEN
SP-Room-Angled-Inner-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Angled-Inner-Generic.rfa,Generic Models,Room_Angled_Inner_GEN
SP-Room-Bed-Bay_Instance_10,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Bed-Bay_Instance_10.rfa,Generic Models,Room_Bed_Bay_Instance_10
SP-Room-Bed-CutOut-ENS-Square-Inner-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Bed-CutOut-ENS-Square-Inner-Generic.rfa,Generic Models,Room_Bed_CutOut_ENS_Square_Inner_GEN
SP-Room-Bed-CutOut-Inner-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Bed-CutOut-Inner-Generic.rfa,Generic Models,Room_Bed_CutOut_Inner_GEN
SP-Room-Bed-ENS-Square-Inner-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Bed-ENS-Square-Inner-Generic.rfa,Generic Models,Room_Bed_ENS_Square_Inner_GEN
SP-Room-Bed-Inner-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Bed-Inner-Generic.rfa,Generic Models,Room_Bed_Inner_GEN
SP-Room-Bed-Two-ENS-Inner-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Bed-Two-ENS-Inner-Generic.rfa,Generic Models,Room_Bed_Two_ENS_Inner_GEN
SP-Room-Circular-Inner-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Circular-Inner-Generic.rfa,Generic Models,Room_Circular_Inner_GEN
SP-Room-Cot-Bay_Instance_10,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Cot-Bay_Instance_10.rfa,Generic Models,Room_Cot_Bay_Instance_GEN
SP-Room-Dialysis-Bay_Instance_10,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Dialysis-Bay_Instance_10.rfa,Generic Models,Room_Dialysis_Bay_Instance_GEN
SP-Room-ENS-Double-Inner-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-ENS-Double-Inner-Generic.rfa,Generic Models,Room_ENS_Double_Inner_GEN
SP-Room-ENS-Inner-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-ENS-Inner-Generic.rfa,Generic Models,Room_ENS_Inner_GEN
SP-Room-Lift-Inner-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Lift-Inner-Generic.rfa,Generic Models,Room_Lift_Inner_GEN
SP-Room-LShaped-Inner-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-LShaped-Inner-Generic.rfa,Generic Models,Room_LShaped_Inner_GEN
SP-Room-Nested-Tag,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Nested-Tag.rfa,Generic Models,Room_Nested_Tag_GEN
SP-Room-Rectangle-Inner-Chamfered-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Rectangle-Inner-Chamfered-Generic.rfa,Generic Models,Room_Rectangle_Inner_Chamfered_GEN
SP-Room-Rectangle-Inner-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Rectangle-Inner-Generic.rfa,Generic Models,Room_Rectangle_Inner_GEN
SP-Room-Stair-Inner-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Stair-Inner-Generic.rfa,Generic Models,Room_Stair_Inner_GEN
SP-Room-Stair-Inner-Nodged-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-Stair-Inner-Nodged-Generic.rfa,Generic Models,Room_Stair_Inner_Nodged_GEN
SP-Room-TShaped-Inner-Generic,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-Room-TShaped-Inner-Generic.rfa,Generic Models,Room_TShaped_Inner_GEN
SP-WHB-10-Host,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-WHB-10-Host.rfa,Generic Models,WHB_10_Host_GEN
SP-WHB_For_Rotation_10,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Generic Models\SP-WHB_For_Rotation_10.rfa,Generic Models,WHB_For_Rotation_GEN
0831_FIRE_FH FHR PLACEHOLDER,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Plumbing Fixtures\0831_FIRE_FH FHR PLACEHOLDER.rfa,Plumbing Fixtures,FIRE_FH_FHR_Placeholder_PLU
0831_FIRE_HYDRANT_SINGLE,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Plumbing Fixtures\0831_FIRE_HYDRANT_SINGLE.rfa,Plumbing Fixtures,Fire_Hydrant_Single_PLU
0832_FIRE_HOSE_REEL,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Plumbing Fixtures\0832_FIRE_HOSE_REEL.rfa,Plumbing Fixtures,Fire_Hose_Reel_PLU
NAH_Chair_Dialysis_Electric_SEQ,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\PushIt\Components\Specialty Equipment\NAH_Chair_Dialysis_Electric_SEQ.rfa,Specialty Equipment,Chair_Dialysis_Electric_SEQ
